id,name,full_name,city,logo,state_code,org_id,org_season_id,event_id
4342,1974 Newark FC,1974 Newark FC,Newark,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerImage/Shawn_Ascher_e733810807c1451eae3f0cd4e6a60e1c.jpg,CA,12,61,3173
18,Alabama FC,Alabama FC,Birmingham,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/_da463c0400e545cbbfb1f23ee81d0cde_afc.png,AL,12,61,3183
10,Albion Hurricanes FC,Albion Hurricanes FC,Houston,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Jacob_Decker_b5174738f5fb404db82f157ca6f459d3_albion.png,TX,12,61,3178
3782,ALBION SC,ALBION SC,Longmont,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Viviana_Acosta_ef0d658c49ab40cf889cdaa1d57dffc5_Albion_Log.png,CO,12,61,3171
3453,Arizona Arsenal,Arizona Arsenal,Phoenix,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Joshua_Estrada_71006e40b54144aea994b48be88e6f56_unnamed3.png,AZ,12,61,0
525,Arlington Soccer,Arlington Soccer,Arlington,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Thomas_Griffin_bee0acf7e2a84c378d3d08368546c844_ARL LOGO.png,VA,12,61,3169
3065,Association Football...,Association Football Club,Oakland,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Kassidy_Blevins_33dab14527054918860cd4194327cd51_Screenshot.png,CA,12,61,3173
14,Atlanta Fire United,Atlanta Fire United,Duluth,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Lee_Wilder_db1845a2eea8444082a1d8c62031bb81_ATLFire_Un.png,GA,12,61,3176
592,AZ Arsenal,AZ Arsenal,Phoenix,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/_ea27d5ee27dd48678c87e0e067ab4c71_ArsenalAZ.jpg,AZ,12,61,3171
494,Baltimore Celtic Soc...,Baltimore Celtic Soccer Club,Mount Airy,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Nina_Cuccinello_5760953f94024802941faab6a6850225_celtic6sta.png,MD,12,61,3182
16,Beach FC  (CA),Beach FC  (CA),Torrance,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Beach-FC.jpg,CA,12,61,3177
628,Beach FC  (VA),Beach FC  (VA),Virginia Beach,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Joelle_Palombo_169588b883044d45b185887b8a469848_logo_large.png,VA,12,61,3169
