match_id,home_team,home_team_id,home_team_club_id,away_team,away_team_id,away_team_club_id,home_score,away_score,date
685578,Placer United ECNL B08,46160,3054,1974 Newark FC ECNL B08,81052,4342,1,0,2024-08-18
685502,San Juan SC ECNL B08,46166,88,1974 Newark FC ECNL B08,81052,4342,3,0,2024-08-25
685510,1974 Newark FC ECNL B08,81052,4342,Mustang SC ECNL B08,33663,69,0,8,2024-09-07
699987,Germantown Legends ECNL B08,83079,3589,Alabama FC ECNL B08,46808,18,4,2,2024-08-24
700011,Lobos Rush ECNL B08,82592,2235,Alabama FC ECNL B08,46808,18,1,7,2024-08-25
700017,Alabama FC ECNL B08,46808,18,Chattanooga Red Wolves SC ECNL B08,96247,3232,1,1,2024-09-07
700035,Alabama FC ECNL B08,46808,18,FC Alliance ECNL B08,46833,1693,0,1,2024-09-08
687487,Albion Hurricanes ECNL B08,46865,10,SAFC ECNL B08,81513,4304,0,0,2024-08-31
687541,Albion Hurricanes ECNL B08,46865,10,San Antonio City SC ECNL B08,46102,2519,0,0,2024-09-01
687583,Albion Hurricanes ECNL B08,46865,10,RISE SC ECNL B08,80425,1772,3,3,2024-09-08
685482,Association FC ECNL B08,80635,3065,River Island Surf ECNL B08,71301,2955,3,1,2024-08-24
685530,San Francisco Elite Academy ECNL B08,80576,1040,Association FC ECNL B08,80635,3065,2,3,2024-09-07
670680,NTH-NASA ECNL B08,46836,329,Atlanta Fire United ECNL B08,44968,14,2,1,2024-08-18
670776,United Futbol Academy ECNL B08,46038,3407,Atlanta Fire United ECNL B08,44968,14,2,1,2024-08-24
670644,GSA ECNL B08,46813,56,Atlanta Fire United ECNL B08,44968,14,0,0,2024-08-25
670520,Atlanta Fire United ECNL B08,44968,14,SC Surf ECNL B08,52308,3644,3,3,2024-09-08
688723,Beach FC ECNL B08,46882,16,Sporting California USA ECNL B08,46848,13,0,0,2024-09-07
704567,Beach FC (VA) ECNL B08,67844,628,NVA ECNL B08,46825,4369,2,3,2024-09-07
687493,BVBIA ECNL B08,44976,1771,OK Energy FC ECNL B08,46107,2133,0,4,2024-08-31
687535,BVBIA ECNL B08,44976,1771,Tulsa SC ECNL B08,44082,106,0,1,2024-09-01
687607,FC Dallas White ECNL B08,69582,47,BVBIA ECNL B08,44976,1771,0,3,2024-09-08
685486,COSC ECNL B08,26268,1470,Davis Legacy ECNL B08,46130,1425,0,3,2024-08-25
685534,Santa Clara Sporting ECNL B08,46172,2548,COSC ECNL B08,26268,1470,1,1,2024-09-08
670616,Concorde Fire Premier ECNL B08,46811,30,CESA Triumph ECNL B08,35806,380,0,4,2024-08-24
670580,Concorde Fire Platinum ECNL B08,46050,30,CESA Triumph ECNL B08,35806,380,1,1,2024-08-25
670552,CESA Triumph ECNL B08,35806,380,GSA ECNL B08,46813,56,4,1,2024-09-07
670548,CESA Triumph ECNL B08,35806,380,United Futbol Academy ECNL B08,46038,3407,4,2,2024-09-08
699999,Chattanooga Red Wolves SC ECNL B08,96247,3232,FC Alliance ECNL B08,46833,1693,0,0,2024-08-25
700041,Mississippi Rush United ECNL B08,81773,4327,Chattanooga Red Wolves SC ECNL B08,96247,3232,1,5,2024-09-08
690260,Columbia Premier SC ECNL B08,46845,2322,United PDX ECNL B08,67187,2536,0,4,2024-09-07
670584,Concorde Fire Platinum ECNL B08,46050,30,South Carolina United ECNL B08,39024,1689,1,0,2024-08-24
670612,Concorde Fire Premier ECNL B08,46811,30,South Carolina United ECNL B08,39024,1689,1,2,2024-08-25
687595,Dallas Texans Academy ECNL B08,46083,37,Tulsa SC ECNL B08,44082,106,2,1,2024-09-08
687589,Dallas Texans ECNL B08,46857,37,OK Energy FC ECNL B08,46107,2133,0,1,2024-09-08
685518,MVLA ECNL B08,46154,294,Davis Legacy ECNL B08,46130,1425,5,1,2024-09-08
687499,DKSC ECNL B08,58708,35,Tulsa SC ECNL B08,44082,106,2,0,2024-08-31
687547,DKSC ECNL B08,58708,35,OK Energy FC ECNL B08,46107,2133,0,1,2024-09-01
687601,DKSC ECNL B08,58708,35,FC Dallas Red ECNL B08,46077,47,0,1,2024-09-08
690264,PacNW SC ECNL B08,26470,2331,Eastside FC ECNL B08,46838,398,0,0,2024-09-07
