match_id,home_team,home_team_id,home_team_club_id,away_team,away_team_id,away_team_club_id,home_score,away_score,date
709119,956 United USC TX RL B10,93943,4530,LSC  Nth USC TX RL B10,94169,62,0,0,2024-09-08
712594,FC Alliance ECNL RL B10,57720,1693,Alabama FC ECNL RL B10,69020,18,0,6,2024-09-07
712600,Chattanooga Red Wolves SC ECNL RL B10,96437,3232,Alabama FC ECNL RL B10,69020,18,0,9,2024-09-08
697020,Albion Hurricanes FC ECNL RL B10,69095,10,SAFC Red ECRL B10,95198,4304,0,0,2024-08-31
697026,Albion Hurricanes FC ECNL RL B10,69095,10,San Antonio City SC ECNL RL B10,69978,2519,0,0,2024-09-01
697035,RISE SC - ECNL Navy RL B10,80405,1772,Albion Hurricanes FC ECNL RL B10,69095,10,2,4,2024-09-08
667106,Solano Surf SC RL B10,94269,2773,Almaden FC RL B2010,89705,3069,0,6,2024-08-24
694331,Arkansas Rising ECNL RL B10,62097,3594,Arkansas Comets FC ECNL RL B10,81781,3585,0,3,2024-08-31
694355,Blitz Academy ECNL RL B10,81699,3620,Arkansas Comets FC ECNL RL B10,81781,3585,2,1,2024-09-08
694349,Arkansas Rising ECNL RL B10,62097,3594,Blitz Academy ECNL RL B10,81699,3620,3,4,2024-09-02
676433,Arlington Soccer ECNL RL B10,82230,525,Strikers ECNL RL B10,47970,83,2,1,2024-08-25
676448,Stafford Revolution ECNL RL B10,48030,636,Arlington Soccer ECNL RL B10,82230,525,0,3,2024-09-08
673237,SC Surf ECNL RL B10,81249,3644,Atlanta Fire United ECNL RL B10,67128,14,0,3,2024-08-18
673244,Atlanta Fire United ECNL RL B10,67128,14,United Futbol Academy RL B10,68840,3407,3,5,2024-08-24
673229,Atlanta Fire United ECNL RL B10,67128,14,GSA ECNL RL B10,68972,56,1,1,2024-08-25
673409,Atlanta Fire United ECNL RL B10,67128,14,SC Surf ECNL RL B10,81249,3644,5,0,2024-09-07
681206,Avanti SA White ECNL RL NTX B10,69794,4068,Sting Brave ECNL RL NTX B10,43901,36,3,3,2024-08-17
681212,Avanti SA Blue ECNL RL NTX B10,81164,4068,BVBIA ECNL RL NTX B10,67338,1771,2,6,2024-08-17
681303,Avanti SA Blue ECNL RL NTX B10,81164,4068,Avanti SA White ECNL RL NTX B10,69794,4068,1,1,2024-09-08
692461,Beach FC ECNL RL B10,60061,16,Pateadores ECNL RL B10,68901,186,0,0,2024-09-08
676431,FC Richmond  ECNL RL B10,69472,627,Beach FC (VA) ECNL RL B10,67858,628,0,2,2024-08-25
676440,Beach FC (VA) ECNL RL B10,67858,628,Richmond Kickers ECNL RL B10,47683,633,1,2,2024-09-08
694319,Blitz Academy ECNL RL B10,81699,3620,Tupelo FC ECNL RL B10,97075,4569,8,0,2024-08-31
694337,Blitz Academy ECNL RL B10,81699,3620,Mississippi Rush United ECNL RL B10,93964,4327,6,2,2024-09-01
681284,BVBIA ECNL RL NTX B10,67338,1771,SOLAR WHITE ECNL RL NTX B10,96933,101,3,2,2024-09-07
681298,BVBIA ECNL RL NTX B10,67338,1771,Dallas Texans Red ECNL RL NTX B10,69167,37,2,0,2024-09-08
648674,Cape Coral Cyclones ECNL  RL B10,94335,3390,Wellington ECNL RL B10,48156,840,0,2,2024-09-07
673317,CESA Triumph ECNL RL B10,69008,380,Concorde Fire Premier ECNL RL B10,68800,30,3,5,2024-08-24
673285,CESA Triumph ECNL RL B10,69008,380,Concorde Fire Platinum ECNL RL B10,68805,30,1,1,2024-08-25
673261,GSA ECNL RL B10,68972,56,CESA Triumph ECNL RL B10,69008,380,3,2,2024-09-07
673277,United Futbol Academy RL B10,68840,3407,CESA Triumph ECNL RL B10,69008,380,2,1,2024-09-08
709165,CHALLENGE UNITED EAST USC TX RL B10,92482,25,Cavalry USC TX RL B10,49780,3432,0,0,0001-01-01
709114,SG1 USC TX RL B10,48852,3435,Cavalry USC TX RL B10,49780,3432,3,0,2024-09-07
709126,Cavalry USC TX RL B10,49780,3432,Sting Austin USC TX RL B10,94857,1690,1,1,2024-09-08
697033,CHALLENGE UNITED ECNL RL B10,66743,25,West Side Alliance ECNL RL B10,69325,3587,1,4,2024-09-07
697037,CHALLENGE UNITED ECNL RL B10,66743,25,Oklahoma Celtic ECNL RL B10,55425,2134,2,3,2024-09-08
712834,Chattanooga Red Wolves SC ECNL RL B10,96437,3232,Tennessee SC ECNL RL B10,69538,1354,0,7,2024-09-07
667109,De Anza Force RL B10,94953,2510,Clovis Crossfire RL B10,93285,1249,3,7,2024-08-18
649130,South Orlando Soccer Club ECNL RL B10,94700,3303,Coastal Rush ECNL RL B10,80128,4319,0,7,2024-08-24
649136,Orlando City Lake Nona ECNL RL B10,94823,4568,Coastal Rush ECNL RL B10,80128,4319,0,5,2024-08-25
649142,Tampa Bay United ECNL RL B10,48632,874,Coastal Rush ECNL RL B10,80128,4319,0,0,2024-09-07
667176,Columbia Premier SC ECNL RL B10,82061,2322,Spokane Shadow ECNL RL B10,69838,2544,0,3,2024-08-02
667186,Snohomish United ECNL RL B10,82019,2522,Columbia Premier SC ECNL RL B10,82061,2322,0,2,2024-08-03
667208,Columbia Premier SC ECNL RL B10,82061,2322,Eastside FC ECNL RL B10,81735,398,1,3,2024-08-04
667259,Columbia Premier SC ECNL RL B10,82061,2322,3RSC ECNL RL B10,82237,2229,0,8,2024-09-08
673305,South Carolina United ECNL RL B10,69848,1689,Concorde Fire Platinum ECNL RL B10,68805,30,3,1,2024-08-24
