id,name,full_name,city,logo,state_code,org_id,org_season_id,event_id
331,Alleycats,Alleycats,Colonie,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/AlleyCats.jpg,NY,21,66,3286
3594,Arkansas Rising,Arkansas Rising,Little Rock,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Kellie_Hallworth_22e586d2e30f427e876a496df7065b30_rising_tgs.jpg,AR,21,66,3267
4068,Avanti Soccer Academy,Avanti Soccer Academy,Dallas,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/454396322db3427dbfb014411fd9640a_Avanti_TGS.png,TX,21,66,3267
17,Bethesda SC,Bethesda SC,Gaithersburg,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Jose_Mourinho_63e8b63f510340a59f2c56ffe71ffc2b_Bethesda_T.png,MD,21,66,3266
1771,BVB International Ac...,BVB International Academy,Carrollton,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Ivan_Orozco_58eea4a406a94ed7bdfd3b2757f2fcf1_BVB_portra.png,TX,21,66,3267
4578,Canton Force,Canton Force,North Royalton,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerImage/Kory_Patterson_23f5f5e162414a39b8b0857fa79b2b3e.png,OH,21,66,0
4349,CFC North,CFC North,Rocky Hill,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Devin_Itzikman_75ee55b60c464ef386f62079e95fafe3_CFC_Logo_.png,CT,21,66,3286
3539,CFC South,CFC South,Bethany ,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Jasmine_Sinchai_1e33b950aa14413984faa4bf3193bf0a_download.jpg,CT,21,66,0
2167,Chicago Inter Soccer,Chicago Inter Soccer,New Lenox,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/ronaldo_ramirez_bf77238fb93e4c909d8d11c75c9f121a_IMG_26371.png,IL,21,66,3337
384,Cincinnati United So...,Cincinnati United Soccer Club,Cincinnati,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/CinnUnited.jpg,OH,21,66,3211
3478,Cleveland Force SC,Cleveland Force SC,Bedford Heights,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Ella_Neumann_73806358b04141acb9101a388a400c10_CFSC Logo no outline.png,OH,21,66,3211
4079,Club Ohio,Club Ohio,Dublin,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/1a575300a46347ca8ba19d463cc8be9c_Club_Ohio_.png,OH,21,66,3211
4075,Columbus Force SC,Columbus Force SC,Lewis Center,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Kili_Skibby_8a4ad454e1a748458286fbc2fb169445_COF_Logo_2.png,OH,21,66,3211
31,Connecticut FC,Connecticut FC,Bethany,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Connecticut-FC.jpg,CT,21,66,3265
3957,Dallas Surf SC,Dallas Surf SC,Irving,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/60891860a0c945bb8fd3d7f5daf71b9e_DallasSurf.png,TX,21,66,3267
37,Dallas Texans,Dallas Texans,Dallas,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Dallas-Texans.jpg,TX,21,66,3267
35,DKSC,DKSC,Farmers Branch,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Michelle_Romero_95a17839549148849f22842dba1cb6ce_DKCSLogoFI.jpg,TX,21,66,3267
42,East Meadow SC,East Meadow SC,North Bellmore,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Kory_Patterson_546497e203014be5a834a127c0ae9ba0_New_EM_Cir.png,NY,21,66,3265
43,Eclipse Select SC,Eclipse Select SC,Rolling Meadows,https://s3.amazonaws.com/images.totalglobalsports.com/ClubImages/Logos/Eclipse-Select-Soccer-Club.jpg,IL,21,66,0
4562,Elizabethtown FC,Elizabethtown FC,Elizabethtown,https://s3.amazonaws.com/images.totalglobalsports.com/PlayerForm/Blake_Khaleghi_87a6a03e74e34904af9a01479be66404_268S345gc8.png,KY,21,66,3211
