orgId,nameOfficial,divisionRoman,conferenceId,conferenceName,webSiteUrl,athleticWebUrl
2,Abilene Christian University,I,923,Western Athletic Conference,www.acu.edu,www.acusports.com
5,University of Akron,I,875,Mid-American Conference,uakron.edu,gozips.com
8,University of Alabama,I,911,Southeastern Conference,www.ua.edu,www.rolltide.com
6,Alabama A&M University,I,916,Southwestern Athletic Conf.,www.aamu.edu,www.aamusports.com
7,Alabama State University,I,916,Southwestern Athletic Conf.,www.alasu.edu,www.bamastatesports.com
9,University of Alabama at Birmingham,I,823,American Athletic Conference,www.uab.edu,www.uabsports.com
14,University at Albany,I,845,America East Conference,www.albany.edu,www.ualbanysports.com
17,Alcorn State University,I,916,Southwestern Athletic Conf.,www.alcorn.edu,www.alcornsports.com
23,American University,I,838,Patriot League,american.edu,www.aueagles.com
27,Appalachian State University,I,818,Sun Belt Conference,www.appstate.edu,appstatesports.com
29,University of Arizona,I,25354,Big 12 Conference,www.arizona.edu,www.arizonawildcats.com
28,Arizona State University,I,25354,Big 12 Conference,asu.edu,thesundevils.com
30,Arkansas State University,I,818,Sun Belt Conference,www.astate.edu,www.astateredwolves.com
31,"University of Arkansas, Fayetteville",I,911,Southeastern Conference,www.uark.edu/,arkansasrazorbacks.com/
32,University of Arkansas at Little Rock,I,902,Ohio Valley Conference,www.ualr.edu,//lrtrojans.com
2678,"University of Arkansas, Pine Bluff",I,916,Southwestern Athletic Conf.,www.uapb.edu,uapblionsroar.com/
37,Auburn University,I,911,Southeastern Conference,www.auburn.edu,www.auburntigers.com
43,Austin Peay State University,I,920,Atlantic Sun Conference,www.apsu.edu,www.letsgopeay.com
47,Ball State University,I,875,Mid-American Conference,www.bsu.edu,www.ballstatesports.com
51,Baylor University,I,25354,Big 12 Conference,www.baylor.edu,www.baylorbears.com
52,Bellarmine University,I,920,Atlantic Sun Conference,www.bellarmine.edu,athletics.bellarmine.edu
14927,Belmont University,I,884,Missouri Valley Conference,www.belmont.edu,www.belmontbruins.com
61,Bethune-Cookman University,I,916,Southwestern Athletic Conf.,www.cookman.edu,www.bcuathletics.com
62,Binghamton University,I,845,America East Conference,www.binghamton.edu,www.bubearcats.com
66,Boise State University,I,5486,Mountain West Conference,www.boisestate.edu,www.broncosports.com
67,Boston College,I,821,Atlantic Coast Conference,www.bc.edu,www.bceagles.com
68,Boston University,I,838,Patriot League,www.bu.edu,www.goterriers.com
71,Bowling Green State University,I,875,Mid-American Conference,www.bgsu.edu,www.bgsufalcons.com
72,Bradley University,I,884,Missouri Valley Conference,www.bradley.edu,www.bradleybraves.com
77,Brigham Young University,I,25354,Big 12 Conference,www.byu.edu,byucougars.com
80,Brown University,I,865,The Ivy League,www.brown.edu,www.brownbears.com
81,Bryant University,I,845,America East Conference,www.bryant.edu,www.bryantbulldogs.com
83,Bucknell University,I,838,Patriot League,bucknell.edu,bucknellbison.com
86,"University at Buffalo, the State University of New York",I,875,Mid-American Conference,www.buffalo.edu,www.ubbulls.com
87,Butler University,I,30184,Big East Conference,www.butler.edu,www.butlersports.com
30135,California Baptist University,I,923,Western Athletic Conference,www.calbaptist.edu,www.cbulancers.com
90,California Polytechnic State University,I,904,Big West Conference,calpoly.edu,gopoly.com
94,"California State University, Bakersfield",I,904,Big West Conference,www.csub.edu,www.gorunners.com
96,"California State University, Fresno",I,5486,Mountain West Conference,www.fresnostate.edu,www.gobulldogs.com
97,"California State University, Fullerton",I,904,Big West Conference,www.fullerton.edu,www.fullertontitans.com
101,"California State University, Northridge",I,904,Big West Conference,www.csun.edu,www.GoMatadors.com
102,"California State University, Sacramento",I,825,Big Sky Conference,www.csus.edu,www.hornetsports.com
107,"University of California, Berkeley",I,821,Atlantic Coast Conference,www.berkeley.edu,www.calbears.com
108,"University of California, Davis",I,904,Big West Conference,www.ucdavis.edu,www.ucdavisaggies.com
109,"University of California, Irvine",I,904,Big West Conference,www.uci.edu,https://ucirvinesports.com/
110,"University of California, Los Angeles",I,827,Big Ten Conference,www.ucla.edu,www.uclabruins.com
111,"University of California, Riverside",I,904,Big West Conference,www.ucr.edu,www.gohighlanders.com/
112,"University of California, San Diego",I,904,Big West Conference,www.ucsd.edu,www.ucsdtritons.com
104,"University of California, Santa Barbara",I,904,Big West Conference,www.ucsb.edu,ucsbgauchos.com
115,Campbell University,I,837,Coastal Athletic Association,www.campbell.edu,www.gocamels.com
116,Canisius University,I,871,Metro Atlantic Athletic Conference,www.canisius.edu,www.gogriffs.com
1004,University of Central Arkansas,I,920,Atlantic Sun Conference,www.uca.edu,www.ucasports.com
127,Central Connecticut State University,I,846,Northeast Conference,www.ccsu.edu,www.ccsubluedevils.com
128,University of Central Florida,I,25354,Big 12 Conference,www.ucf.edu,www.ucfknights.com/
129,Central Michigan University,I,875,Mid-American Conference,www.cmich.edu,www.cmuchippewas.com
1014,College of Charleston (South Carolina),I,837,Coastal Athletic Association,www.cofc.edu,www.cofcsports.com
48,Charleston Southern University,I,826,Big South Conference,https://www.charlestonsouthern.edu/,csusports.com/
136,Chicago State University,I,846,Northeast Conference,www.csu.edu,www.gocsucougars.com
140,University of Cincinnati,I,25354,Big 12 Conference,uc.edu,gobearcats.com/
141,The Citadel,I,912,Southern Conference,www.citadel.edu,www.citadelsports.com
147,Clemson University,I,821,Atlantic Coast Conference,clemson.edu,clemsontigers.com
148,Cleveland State University,I,881,Horizon League,www.csuohio.edu,www.csuvikings.com
149,Coastal Carolina University,I,818,Sun Belt Conference,www.coastal.edu,www.goccusports.com
153,Colgate University,I,838,Patriot League,www.colgate.edu,gocolgateraiders.com
157,"University of Colorado, Boulder",I,25354,Big 12 Conference,www.colorado.edu/,www.cubuffs.com/
156,Colorado State University,I,5486,Mountain West Conference,www.colostate.edu,www.csurams.com
158,Columbia University-Barnard College,I,865,The Ivy League,www.columbia.edu,www.gocolumbialions.com/
164,University of Connecticut,I,30184,Big East Conference,www.uconn.edu,www.uconnhuskies.com
165,Coppin State University,I,876,Mid-Eastern Athletic Conf.,www.coppin.edu,www.coppinstatesports.com
167,Cornell University,I,865,The Ivy League,www.cornell.edu,www.cornellbigred.com
169,Creighton University,I,30184,Big East Conference,www.creighton.edu/node/165768,gocreighton.com/
172,Dartmouth College,I,865,The Ivy League,www.dartmouth.edu,www.dartmouthsports.com
173,Davidson College,I,820,Atlantic 10 Conference,www.davidson.edu,www.davidsonwildcats.com
175,University of Dayton,I,820,Atlantic 10 Conference,www.udayton.edu,www.daytonflyers.com
180,University of Delaware,I,837,Coastal Athletic Association,www.udel.edu,www.bluehens.com
178,Delaware State University,I,876,Mid-Eastern Athletic Conf.,www.desu.edu,www.dsuhornets.com/
