id,name
4,Alabama
5,Alaska
6,Arizona
7,Arkansas
1,California
8,Colorado
9,Connecticut
10,Delaware
11,District of Columbia
12,Florida
13,Georgia
14,Hawaii
15,Idaho
16,Illinois
17,Indiana
18,Iowa
19,Kansas
20,Kentucky
21,Louisiana
22,Maine
34,Maryland
35,Massachusetts
36,Michigan
37,Minnesota
38,Mississippi
39,Missouri
23,Montana
24,Nebraska
25,Nevada
26,New Hampshire
27,New Jersey
28,New Mexico
29,New York
30,North Carolina
31,North Dakota
32,Ohio
33,Oklahoma
3,Oregon
40,Pennsylvania
41,Rhode Island
42,South Carolina
43,South Dakota
44,Tennessee
45,Texas
46,Utah
47,Vermont
48,Virginia
49,Washington
50,West Virginia
51,Wisconsin
52,Wyoming
