team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Chattanooga Red Wolves SC ECNL RL B09,0,2,0,2,0,11,-11,0.0,0,0.0,2.0,0.0,1.0,ECNL Regional League Boys Mid-America 2024-25,0-2-0
FC Alliance ECNL RL B09,0,2,0,2,0,3,-3,0.0,0,0.0,2.0,0.0,1.0,ECNL Regional League Boys Mid-America 2024-25,0-2-0
Alabama FC ECNL RL B09,2,0,0,2,2,0,2,1.0,6,1.0,0.0,2.0,0.75,ECNL Regional League Boys Mid-America 2024-25,2-0-0
Great Falls Reston Soccer Club ECNL RL B09,1,0,0,1,2,1,1,2.0,3,1.0,1.0,0.0,0.75,ECNL Regional League Boys Virginia 2024-25,1-0-0
Stafford Revolution ECNL RL B09,0,1,0,1,1,4,-3,1.0,0,0.0,2.0,-1.0,0.75,ECNL Regional League Boys Virginia 2024-25,0-1-0
Tennessee SC ECNL RL B09,2,0,0,2,12,0,12,6.0,6,1.0,0.0,2.0,0.75,ECNL Regional League Boys Mid-America 2024-25,2-0-0
AC Marin RL B09,2,0,1,3,6,4,2,2.0,7,0.67,0.67,0.75,0.69,ECNL Regional League Boys NorCal 2024-25,2-0-1
Burlingame SC RL B09,1,2,0,3,1,5,-4,0.33,3,0.33,1.0,0.42,0.69,ECNL Regional League Boys NorCal 2024-25,1-2-0
HTX ECNL RL B09 N,1,0,0,1,3,2,1,3.0,3,1.0,0.5,0.75,0.69,ECNL Regional League Boys Texas 2024-25,1-0-0
Seattle United ECNL RL B09,4,1,0,5,13,5,8,2.6,12,0.8,0.64,0.55,0.66,ECNL Regional League Boys Northwest 2024-25,4-1-0
FC Dallas Navy ECNL RL NTX B09,4,0,0,4,14,3,11,3.5,12,1.0,0.5,0.61,0.65,ECNL Regional League Boys North Texas 2024-25,4-0-0
3RSC ECNL RL B09,5,0,1,6,20,7,13,3.33,16,0.83,0.56,0.59,0.64,ECNL Regional League Boys Northwest 2024-25,5-0-1
West Side Alliance ECNL RL B09,1,0,1,2,6,4,2,3.0,4,0.5,0.75,0.5,0.62,ECNL Regional League Boys Texas 2024-25,1-0-1
Florida Elite ECNL RL B09,1,1,0,2,2,1,1,1.0,3,0.5,0.75,0.43,0.61,ECNL Regional League Boys Florida 2024-25,1-1-0
Kernow Storm FC ECNL RL NTX B09,3,1,0,4,20,2,18,5.0,9,0.75,0.62,0.46,0.61,ECNL Regional League Boys North Texas 2024-25,3-1-0
Concorde Fire Premier ECNL RL B09,3,0,0,3,10,2,8,3.33,9,1.0,0.31,0.67,0.57,ECNL Regional League Boys Southeast 2024-25,3-0-0
PacNW SC ECNL RL B09,3,2,0,5,14,8,6,2.8,9,0.6,0.59,0.5,0.57,ECNL Regional League Boys Northwest 2024-25,3-2-0
Albion SC Merced RL B09,2,0,1,3,10,4,6,3.33,7,0.67,0.5,0.58,0.56,ECNL Regional League Boys NorCal 2024-25,2-0-1
Eastside FC ECNL RL B09,3,2,0,5,12,9,3,2.4,9,0.6,0.52,0.56,0.55,ECNL Regional League Boys Northwest 2024-25,3-2-0
Coastal Rush ECNL RL B09,2,0,1,3,7,0,7,2.33,7,0.67,0.47,0.54,0.54,ECNL Regional League Boys Florida 2024-25,2-0-1
Dallas Texans Red ECNL RL NTX B09,2,0,2,4,7,5,2,1.75,8,0.5,0.62,0.4,0.54,ECNL Regional League Boys North Texas 2024-25,2-0-2
FL Premier FC - ECNL RL B09 NORTH,0,1,1,2,1,3,-2,0.5,1,0.0,0.75,0.66,0.54,ECNL Regional League Boys Florida 2024-25,0-1-1
NTX Celtic FC ECNL RL NTX B09,2,1,1,4,11,6,5,2.75,7,0.5,0.58,0.5,0.54,ECNL Regional League Boys North Texas 2024-25,2-1-1
Springs SC ECNL RL B09,1,1,0,2,3,3,0,1.5,3,0.5,0.67,0.31,0.54,ECNL Regional League Boys Florida 2024-25,1-1-0
Sting ECNL RL NTX B09,2,1,1,4,9,3,6,2.25,7,0.5,0.54,0.59,0.54,ECNL Regional League Boys North Texas 2024-25,2-1-1
FC Dallas White ECNL RL NTX B09,0,1,1,2,0,3,-3,0.0,1,0.0,0.83,0.48,0.53,ECNL Regional League Boys North Texas 2024-25,0-1-1
SC Surf ECNL RL B09,0,3,0,3,3,7,-4,1.0,0,0.0,1.0,0.12,0.53,ECNL Regional League Boys Southeast 2024-25,0-3-0
OK Energy FC ECNL RL B09,1,2,0,3,3,5,-2,1.0,3,0.33,1.0,-0.25,0.52,ECNL Regional League Boys Texas 2024-25,1-2-0
Turlock Academica Jrs RL B09,0,1,2,3,4,5,-1,1.33,2,0.0,0.75,0.56,0.52,ECNL Regional League Boys NorCal 2024-25,0-1-2
Mississippi Rush United ECNL RL B09,1,0,1,2,4,3,1,2.0,4,0.5,0.58,0.38,0.51,ECNL Regional League Boys Frontier 2024-25,1-0-1
Almaden FC RL B09,0,1,1,2,3,5,-2,1.5,1,0.0,0.75,0.5,0.5,ECNL Regional League Boys NorCal 2024-25,0-1-1
CHALLENGE UNITED EAST USC TX RL B09,1,0,0,1,2,0,2,2.0,3,1.0,0.5,0.0,0.5,ECNL Regional League Boys Texas 2024-25,1-0-0
Cavalry Black USC TX RL B09,0,0,1,1,2,2,0,2.0,1,0.0,1.0,0.0,0.5,ECNL Regional League Boys USC TX 2024-25,0-0-1
Dallas Texans RL B09,1,0,0,1,2,0,2,2.0,3,1.0,0.0,1.0,0.5,ECNL Regional League Boys North Texas 2024-25,1-0-0
FC Westlake ECNL RL B09,0,1,1,2,3,5,-2,1.5,1,0.0,0.75,0.5,0.5,ECNL Regional League Boys Texas 2024-25,0-1-1
XF ECNL RL B09,1,1,1,3,10,7,3,3.33,4,0.33,0.58,0.52,0.5,ECNL Regional League Boys Northwest 2024-25,1-1-1
DKSC ECNL RL NTX B09,2,1,1,4,5,7,-2,1.25,7,0.5,0.42,0.62,0.49,ECNL Regional League Boys North Texas 2024-25,2-1-1
South Carolina United ECNL RL B09,0,4,0,4,5,12,-7,1.25,0,0.0,0.78,0.41,0.49,ECNL Regional League Boys Southeast 2024-25,0-4-0
Columbia Premier SC ECNL RL B09,1,3,0,4,7,14,-7,1.75,3,0.25,0.61,0.47,0.48,ECNL Regional League Boys Northwest 2024-25,1-3-0
Concorde Fire Platinum ECNL RL B09,1,1,1,3,5,6,-1,1.67,4,0.33,0.5,0.6,0.48,ECNL Regional League Boys Southeast 2024-25,1-1-1
Spokane Shadow ECNL RL B09,3,3,0,6,18,14,4,3.0,9,0.5,0.43,0.55,0.48,ECNL Regional League Boys Northwest 2024-25,3-3-0
Avanti SA Grey ECNL RL NTX B09,0,4,0,4,0,15,-15,0.0,0,0.0,0.73,0.44,0.47,ECNL Regional League Boys North Texas 2024-25,0-4-0
BVBIA ECNL RL NTX B09,2,0,2,4,5,3,2,1.25,8,0.5,0.42,0.56,0.47,ECNL Regional League Boys North Texas 2024-25,2-0-2
FC Dallas Red ECNL RL NTX B09,1,2,0,3,3,8,-5,1.0,3,0.33,0.5,0.56,0.47,ECNL Regional League Boys North Texas 2024-25,1-2-0
FL Premier FC Black - ECNL RL B09 South,2,0,0,2,3,0,3,1.5,6,1.0,0.12,0.66,0.47,ECNL Regional League Boys Florida 2024-25,2-0-0
Florida Kraze ECNL-RL B09,1,1,1,3,3,4,-1,1.0,4,0.33,0.56,0.44,0.47,ECNL Regional League Boys Florida 2024-25,1-1-1
South Valley Chivas Academy RL B09,2,0,1,3,11,3,8,3.67,7,0.67,0.25,0.71,0.47,ECNL Regional League Boys NorCal 2024-25,2-0-1
Washington Premier ECNL RL B09,1,4,0,5,15,13,2,3.0,3,0.2,0.6,0.5,0.47,ECNL Regional League Boys Northwest 2024-25,1-4-0
CESA Triumph ECNL RL B09,0,3,1,4,2,8,-6,0.5,1,0.0,0.72,0.41,0.46,ECNL Regional League Boys Southeast 2024-25,0-3-1
Dallas Texans ECNL RL NTX B09,2,2,0,4,5,13,-8,1.25,6,0.5,0.4,0.53,0.46,ECNL Regional League Boys North Texas 2024-25,2-2-0
NTH-NASA ECNL RL B09,3,0,0,3,5,2,3,1.67,9,1.0,0.12,0.61,0.46,ECNL Regional League Boys Southeast 2024-25,3-0-0
Orlando City Lake Nona ECNL RL B09,2,2,0,4,3,7,-4,0.75,6,0.5,0.44,0.48,0.46,ECNL Regional League Boys Florida 2024-25,2-2-0
United Futbol Academy RL B09,3,1,1,5,9,5,4,1.8,10,0.6,0.4,0.44,0.46,ECNL Regional League Boys Southeast 2024-25,3-1-1
Sting Nebraska ECNL RL B09,1,2,0,3,4,9,-5,1.33,3,0.33,0.69,0.1,0.45,ECNL Regional League Boys Heartland 2024-25,1-2-0
Supreme FC ECNL RL B09,0,2,0,2,1,8,-7,0.5,0,0.0,0.96,-0.11,0.45,ECNL Regional League Boys Florida 2024-25,0-2-0
Palm Beach Gardens ECNL RL B09,1,0,0,1,3,2,1,3.0,3,1.0,0.0,0.75,0.44,ECNL Regional League Boys Florida 2024-25,1-0-0
SOLAR BLUE ECNL RL NTX B09,2,0,1,3,7,3,4,2.33,7,0.67,0.28,0.53,0.44,ECNL Regional League Boys North Texas 2024-25,2-0-1
GSA ECNL RL B09,2,3,0,5,7,13,-6,1.4,6,0.4,0.44,0.43,0.43,ECNL Regional League Boys Southeast 2024-25,2-3-0
Atlanta Fire United ECNL RL B09,3,0,1,4,13,4,9,3.25,10,0.75,0.12,0.71,0.42,ECNL Regional League Boys Southeast 2024-25,3-0-1
RISE SC - ECNL White RL B09,0,1,2,3,3,4,-1,1.0,2,0.0,0.75,0.17,0.42,ECNL Regional League Boys Texas 2024-25,0-1-2
FC United Iowa ECNL RL B09,2,0,1,3,10,2,8,3.33,7,0.67,0.25,0.46,0.41,ECNL Regional League Boys Heartland 2024-25,2-0-1
SOCA Elite - ECNL RL 09B,0,1,1,2,1,4,-3,0.5,1,0.0,1.0,-0.38,0.41,ECNL Regional League Boys Virginia 2024-25,0-1-1
South Orlando Soccer Club ECNL RL B09,0,2,1,3,0,3,-3,0.0,1,0.0,0.61,0.4,0.41,ECNL Regional League Boys Florida 2024-25,0-2-1
Renegades SC ECNL RL NTX B09,0,4,0,4,4,10,-6,1.0,0,0.0,0.6,0.4,0.4,ECNL Regional League Boys North Texas 2024-25,0-4-0
Florida Celtic Soccer Club ECNL RL B09,0,0,2,2,1,1,0,0.5,2,0.0,0.5,0.56,0.39,ECNL Regional League Boys Florida 2024-25,0-0-2
Florida West FC ECNL RL B09,0,1,1,2,4,5,-1,2.0,1,0.0,0.5,0.55,0.39,ECNL Regional League Boys Florida 2024-25,0-1-1
Tampa Bay United ECNL RL B09,0,0,4,4,1,1,0,0.25,4,0.0,0.56,0.44,0.39,ECNL Regional League Boys Florida 2024-25,0-0-4
