team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
United PDX ECNL B10,1,1,0,2,3,2,1,1.5,3,0.5,1.5,1.0,1.12,ECNL Boys Northwest 2024-25,1-1-0
Marin FC ECNL B10,1,1,0,2,5,5,0,2.5,3,0.5,1.5,0.75,1.06,ECNL Boys Northern Cal 2024-25,1-1-0
Washington Premier ECNL B10,1,0,1,2,2,0,2,1.0,4,0.5,1.0,1.25,0.94,ECNL Boys Northwest 2024-25,1-0-1
El Camino Futbol Club Salinas ECNL B10,1,1,0,2,4,2,2,2.0,3,0.5,1.0,1.19,0.92,ECNL Boys Northern Cal 2024-25,1-1-0
Columbia Premier SC ECNL B10,0,1,0,1,0,3,-3,0.0,0,0.0,1.0,1.5,0.88,ECNL Boys Northwest 2024-25,0-1-0
Florida Kraze ECNL B10,2,0,0,2,5,2,3,2.5,6,1.0,0.75,0.82,0.83,ECNL Boys Florida 2024-25,2-0-0
Dallas Texans ECNL B10,0,1,0,1,1,7,-6,1.0,0,0.0,1.5,0.25,0.81,ECNL Boys Texas 2024-25,0-1-0
Mustang SC ECNL B10,1,1,0,2,2,3,-1,1.0,3,0.5,0.88,0.83,0.77,ECNL Boys Northern Cal 2024-25,1-1-0
XF ECNL B10,0,0,1,1,0,0,0,0.0,1,0.0,1.0,1.0,0.75,ECNL Boys Northwest 2024-25,0-0-1
DKSC ECNL B10,0,3,0,3,3,11,-8,1.0,0,0.0,1.33,0.28,0.74,ECNL Boys Texas 2024-25,0-3-0
Santa Clara Sporting ECNL B10,2,0,0,2,5,3,2,2.5,6,1.0,0.5,0.88,0.72,ECNL Boys Northern Cal 2024-25,2-0-0
Parkland SC ECNL B10,2,1,1,4,7,2,5,1.75,7,0.5,0.84,0.65,0.71,ECNL Boys Florida 2024-25,2-1-1
OK Energy FC ECNL B10,3,0,0,3,15,4,11,5.0,9,1.0,0.25,1.28,0.7,ECNL Boys Texas 2024-25,3-0-0
Santa Rosa United ECNL B10,0,1,1,2,2,7,-5,1.0,1,0.0,1.25,0.25,0.69,ECNL Boys Northern Cal 2024-25,0-1-1
FC Dallas Red ECNL B10,3,0,0,3,9,2,7,3.0,9,1.0,0.33,0.97,0.66,ECNL Boys Texas 2024-25,3-0-0
Solar SC Academy ECNL B10,2,0,1,3,9,0,9,3.0,7,0.67,0.83,0.29,0.66,ECNL Boys Texas 2024-25,2-0-1
Germantown Legends ECNL B10,1,2,0,3,2,4,-2,0.67,3,0.33,0.89,0.48,0.65,ECNL Boys Mid-America 2024-25,1-2-0
BVBIA ECNL B10,1,2,0,3,7,7,0,2.33,3,0.33,1.0,0.22,0.64,ECNL Boys Texas 2024-25,1-2-0
FC Prime ECNL B10,1,1,2,4,5,6,-1,1.25,5,0.25,0.8,0.65,0.62,ECNL Boys Florida 2024-25,1-1-2
Tennessee SC ECNL B10,2,1,1,4,4,3,1,1.0,7,0.5,0.56,0.72,0.58,ECNL Boys Mid-America 2024-25,2-1-1
Dallas Texans Academy ECNL B10,1,0,0,1,1,0,1,1.0,3,1.0,0.5,0.25,0.56,ECNL Boys Texas 2024-25,1-0-0
Lonestar SC Red ECNL B10,1,1,0,2,3,3,0,1.5,3,0.5,0.75,0.25,0.56,ECNL Boys Texas 2024-25,1-1-0
VSA Rush ECNL B10,1,1,0,2,1,2,-1,0.5,3,0.5,1.0,-0.25,0.56,ECNL Boys Heartland 2024-25,1-1-0
GSA ECNL B10,3,1,1,5,17,6,11,3.4,10,0.6,0.57,0.48,0.55,ECNL Boys Southeast 2024-25,3-1-1
1974 Newark FC ECNL B10,1,1,1,3,6,5,1,2.0,4,0.33,0.67,0.43,0.53,ECNL Boys Northern Cal 2024-25,1-1-1
Tulsa SC ECNL B10,2,1,0,3,6,4,2,2.0,6,0.67,0.25,0.94,0.53,ECNL Boys Texas 2024-25,2-1-0
NTH-NASA ECNL B10,3,1,0,4,8,4,4,2.0,9,0.75,0.39,0.54,0.52,ECNL Boys Southeast 2024-25,3-1-0
San Antonio City SC ECNL B10,0,1,2,3,0,6,-6,0.0,2,0.0,0.75,0.55,0.51,ECNL Boys Texas 2024-25,0-1-2
South Carolina United ECNL B10,2,2,0,4,7,21,-14,1.75,6,0.5,0.55,0.45,0.51,ECNL Boys Southeast 2024-25,2-2-0
