team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
FC Prime ECNL G08,2,0,0,2,11,1,10,5.5,6,1.0,1.0,0.5,0.88,ECNL Girls Southeast 2024-25,2-0-0
Tampa Bay United ECNL G08,2,0,0,2,4,1,3,2.0,6,1.0,1.0,0.5,0.88,ECNL Girls Southeast 2024-25,2-0-0
Eagles SC ECNL G08,2,0,0,2,4,2,2,2.0,6,1.0,0.75,0.88,0.84,ECNL Girls Southwest 2024-25,2-0-0
Sting Austin ECNL G08,2,0,0,2,7,1,6,3.5,6,1.0,0.5,1.25,0.81,ECNL Girls Texas 2024-25,2-0-0
Tulsa SC ECNL G08,0,2,0,2,0,9,-9,0.0,0,0.0,1.5,0.25,0.81,ECNL Girls Texas 2024-25,0-2-0
OK Energy FC ECNL G08,1,1,0,2,5,3,2,2.5,3,0.5,1.0,0.25,0.69,ECNL Girls Texas 2024-25,1-1-0
FC Wisconsin ECNL G08,0,3,0,3,1,5,-4,0.33,0,0.0,1.25,0.04,0.64,ECNL Girls Midwest 2024-25,0-3-0
Rockford Raptors ECNL G08,0,2,0,2,1,4,-3,0.5,0,0.0,1.25,0.06,0.64,ECNL Girls Midwest 2024-25,0-2-0
Gretna Elite Academy ECNL G08,2,2,0,4,7,12,-5,1.75,6,0.5,0.71,0.46,0.59,ECNL Girls Midwest 2024-25,2-2-0
Phoenix Rising ECNL G08,0,1,1,2,2,3,-1,1.0,1,0.0,1.0,0.38,0.59,ECNL Girls Southwest 2024-25,0-1-1
Utah Royals FC-AZ ECNL G08,1,1,0,2,5,3,2,2.5,3,0.5,0.75,0.38,0.59,ECNL Girls Southwest 2024-25,1-1-0
San Juan SC ECNL G08,2,1,0,3,11,5,6,3.67,6,0.67,0.67,0.32,0.58,ECNL Girls Northern Cal 2024-25,2-1-0
Bay Area Surf ECNL G08,2,0,0,2,4,2,2,2.0,6,1.0,0.38,0.5,0.56,ECNL Girls Northern Cal 2024-25,2-0-0
Florida Krush ECNL G08,1,1,0,2,3,4,-1,1.5,3,0.5,1.0,-0.25,0.56,ECNL Girls Southeast 2024-25,1-1-0
Midwest United FC ECNL G08,1,0,0,1,2,1,1,2.0,3,1.0,0.0,1.25,0.56,ECNL Girls Midwest 2024-25,1-0-0
Wilmington Hammerheads ECNL G08,1,1,0,2,3,3,0,1.5,3,0.5,1.0,-0.25,0.56,ECNL Girls Mid-Atlantic 2024-25,1-1-0
FC Dallas ECNL G08,1,1,0,2,2,5,-3,1.0,3,0.5,0.88,-0.04,0.55,ECNL Girls Texas 2024-25,1-1-0
SLSG Navy ECNL G08,1,0,1,2,3,0,3,1.5,4,0.5,0.75,0.21,0.55,ECNL Girls Midwest 2024-25,1-0-1
Michigan Hawks ECNL G08,3,0,0,3,22,3,19,7.33,9,1.0,0.28,0.56,0.53,ECNL Girls Midwest 2024-25,3-0-0
Michigan Hawks Magic ECNL G08,2,1,0,3,9,10,-1,3.0,6,0.67,0.44,0.51,0.52,ECNL Girls Midwest 2024-25,2-1-0
De Anza Force ECNL G08,2,0,0,2,5,1,4,2.5,6,1.0,0.25,0.55,0.51,ECNL Girls Northern Cal 2024-25,2-0-0
CESA Liberty ECNL G08,1,1,0,2,1,4,-3,0.5,3,0.5,0.5,0.5,0.5,ECNL Girls Southeast 2024-25,1-1-0
Concorde Fire Platinum ECNL G08,1,1,0,2,7,4,3,3.5,3,0.5,0.5,0.5,0.5,ECNL Girls Southeast 2024-25,1-1-0
GSA ECNL G08,1,1,0,2,3,1,2,1.5,3,0.5,0.5,0.5,0.5,ECNL Girls Southeast 2024-25,1-1-0
Kansas City Athletics ECNL G08,4,0,0,4,6,2,4,1.5,12,1.0,0.04,0.91,0.5,ECNL Girls Midwest 2024-25,4-0-0
Mustang SC ECNL G08,2,1,0,3,5,2,3,1.67,6,0.67,0.42,0.5,0.5,ECNL Girls Northern Cal 2024-25,2-1-0
South Carolina United ECNL G08,1,1,0,2,5,7,-2,2.5,3,0.5,0.5,0.5,0.5,ECNL Girls Southeast 2024-25,1-1-0
MVLA ECNL G08,2,1,0,3,10,4,6,3.33,6,0.67,0.42,0.39,0.47,ECNL Girls Northern Cal 2024-25,2-1-0
Sporting Blue Valley ECNL G08,3,0,1,4,13,7,6,3.25,10,0.75,0.08,0.91,0.46,ECNL Girls Midwest 2024-25,3-0-1
Chicago Inter Soccer ECNL G08,1,2,1,4,9,8,1,2.25,4,0.25,0.58,0.34,0.44,ECNL Girls Midwest 2024-25,1-2-1
Classics Elite ECNL G08,1,1,0,2,5,4,1,2.5,3,0.5,0.0,1.25,0.44,ECNL Girls Texas 2024-25,1-1-0
Davis Legacy ECNL G08,0,2,1,3,3,8,-5,1.0,1,0.0,0.67,0.39,0.43,ECNL Girls Northern Cal 2024-25,0-2-1
Eclipse Select SC ECNL G08,1,3,0,4,9,9,0,2.25,3,0.25,0.54,0.34,0.42,ECNL Girls Midwest 2024-25,1-3-0
Jacksonville FC ECNL G08,0,0,2,2,1,1,0,0.5,2,0.0,0.75,0.12,0.41,ECNL Girls Southeast 2024-25,0-0-2
Liverpool FC IA Michigan ECNL G08,1,2,0,3,4,6,-2,1.33,3,0.33,0.42,0.38,0.39,ECNL Girls Midwest 2024-25,1-2-0
Santa Rosa United ECNL G08,0,3,0,3,1,8,-7,0.33,0,0.0,0.67,0.22,0.39,ECNL Girls Northern Cal 2024-25,0-3-0
Sporting Iowa ECNL G08,0,4,0,4,3,21,-18,0.75,0,0.0,0.54,0.46,0.39,ECNL Girls Midwest 2024-25,0-4-0
Colorado Rapids ECNL G08,1,1,1,3,6,4,2,2.0,4,0.33,0.25,0.56,0.35,ECNL Girls Texas 2024-25,1-1-1
Pleasanton RAGE ECNL G08,1,1,1,3,2,2,0,0.67,4,0.33,0.33,0.43,0.35,ECNL Girls Northern Cal 2024-25,1-1-1
Albion Hurricanes FC ECNL G08,0,0,2,2,2,2,0,1.0,2,0.0,0.5,0.34,0.34,ECNL Girls Texas 2024-25,0-0-2
Placer United ECNL G08,1,2,0,3,3,4,-1,1.0,3,0.33,0.25,0.47,0.33,ECNL Girls Northern Cal 2024-25,1-2-0
Marin FC ECNL G08,1,2,0,3,3,11,-8,1.0,3,0.33,0.17,0.59,0.32,ECNL Girls Northern Cal 2024-25,1-2-0
Concorde Fire Premier ECNL G08,1,1,0,2,6,2,4,3.0,3,0.5,0.0,0.75,0.31,ECNL Girls Southeast 2024-25,1-1-0
Fairfax Virginia Union ECNL G08,1,1,0,2,3,2,1,1.5,3,0.5,0.0,0.75,0.31,ECNL Girls Mid-Atlantic 2024-25,1-1-0
Dallas Texans ECNL G08,0,2,0,2,0,7,-7,0.0,0,0.0,0.62,-0.04,0.3,ECNL Girls Texas 2024-25,0-2-0
Nationals SC ECNL G08,2,0,1,3,6,1,5,2.0,7,0.67,0.0,0.52,0.3,ECNL Girls Midwest 2024-25,2-0-1
Colorado Rush ECNL G08,0,1,2,3,1,2,-1,0.33,2,0.0,0.5,0.18,0.29,ECNL Girls Texas 2024-25,0-1-2
Atlanta Fire United ECNL G08,1,0,1,2,2,0,2,1.0,4,0.5,0.0,0.62,0.28,ECNL Girls Southeast 2024-25,1-0-1
Challenge SC ECNL G08,0,1,1,2,2,4,-2,1.0,1,0.0,0.38,0.34,0.28,ECNL Girls Texas 2024-25,0-1-1
Florida Elite ECNL G08,0,1,1,2,0,2,-2,0.0,1,0.0,0.5,0.12,0.28,ECNL Girls Southeast 2024-25,0-1-1
United Futbol Academy ECNL G08,0,0,2,2,1,1,0,0.5,2,0.0,0.25,0.62,0.28,ECNL Girls Southeast 2024-25,0-0-2
Real Colorado Athletico ECNL G08,1,0,2,3,7,5,2,2.33,5,0.33,0.17,0.38,0.26,ECNL Girls Texas 2024-25,1-0-2
NC Courage ECNL G08,1,0,0,1,6,0,6,6.0,3,1.0,0.0,0.0,0.25,ECNL Girls Mid-Atlantic 2024-25,1-0-0
Real Colorado National ECNL G08,3,0,0,3,9,0,9,3.0,9,1.0,-0.33,0.67,0.25,ECNL Girls Texas 2024-25,3-0-0
Rebels SC ECNL G08,1,0,0,1,2,0,2,2.0,3,1.0,0.0,0.0,0.25,ECNL Girls Southwest 2024-25,1-0-0
Slammers FC HB Koge ECNL G08,1,0,0,1,2,1,1,2.0,3,1.0,0.0,0.0,0.25,ECNL Girls Southwest 2024-25,1-0-0
So Cal Blues ECNL G08,1,0,0,1,4,0,4,4.0,3,1.0,0.0,0.0,0.25,ECNL Girls Southwest 2024-25,1-0-0
Sting Black ECNL G08,1,0,0,1,4,0,4,4.0,3,1.0,0.0,0.0,0.25,ECNL Girls Texas 2024-25,1-0-0
SLSG Green ECNL G08,0,2,0,2,1,7,-6,0.5,0,0.0,0.38,0.21,0.24,ECNL Girls Midwest 2024-25,0-2-0
LAFC So Cal ECNL G08,0,1,1,2,2,5,-3,1.0,1,0.0,0.0,0.88,0.22,ECNL Girls Southwest 2024-25,0-1-1
Alabama FC ECNL G08,2,0,0,2,6,2,4,3.0,6,1.0,-0.5,0.75,0.19,ECNL Girls Southeast 2024-25,2-0-0
Arlington Soccer ECNL G08,2,0,0,2,6,1,5,3.0,6,1.0,-0.5,0.75,0.19,ECNL Girls Mid-Atlantic 2024-25,2-0-0
NCFC Youth ECNL G08,0,2,0,2,0,6,-6,0.0,0,0.0,0.5,-0.25,0.19,ECNL Girls Mid-Atlantic 2024-25,0-2-0
Orlando City ECNL G08,0,2,0,2,1,8,-7,0.5,0,0.0,0.5,-0.25,0.19,ECNL Girls Southeast 2024-25,0-2-0
FL Premier FC ECNL G08,0,2,0,2,1,9,-8,0.5,0,0.0,0.0,0.5,0.12,ECNL Girls Southeast 2024-25,0-2-0
Florida West FC ECNL G08,0,2,0,2,0,5,-5,0.0,0,0.0,0.0,0.5,0.12,ECNL Girls Southeast 2024-25,0-2-0
Beach FC ECNL G08,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-0-1
Charlotte Independence ECNL G08,0,0,1,1,3,3,0,3.0,1,0.0,0.0,0.0,0.0,ECNL Girls Mid-Atlantic 2024-25,0-0-1
Charlotte SA ECNL G08,0,0,1,1,3,3,0,3.0,1,0.0,0.0,0.0,0.0,ECNL Girls Mid-Atlantic 2024-25,0-0-1
LA Breakers FC ECNL G08,0,1,0,1,1,2,-1,1.0,0,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-1-0
LV Heat Surf ECNL G08,0,1,0,1,0,2,-2,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-1-0
Legends FC San Diego ECNL G08,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-0-1
NC Fusion ECNL G08,0,1,0,1,0,6,-6,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Mid-Atlantic 2024-25,0-1-0
Pateadores ECNL G08,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-0-1
San Diego Surf ECNL G08,0,0,1,1,0,0,0,0.0,1,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-0-1
Sporting California USA ECNL G08,0,1,0,1,0,4,-4,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Southwest 2024-25,0-1-0
Sting Royal ECNL G08,0,1,0,1,0,4,-4,0.0,0,0.0,0.0,0.0,0.0,ECNL Girls Texas 2024-25,0-1-0
