team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,goals_per_match,points,wp,owp,oowp,rpi,event_name,record
Arlington Soccer ECNL RL G08,1,1,0,2,2,6,-4,1.0,3,0.5,1.5,1.0,1.12,ECNL Regional League Girls Virginia 2024-25,1-1-0
Beach FC (VA) ECNL RL G08,0,1,0,1,1,2,-1,1.0,0,0.0,2.0,0.0,1.0,ECNL Regional League Girls Virginia 2024-25,0-1-0
Strikers ECNL RL G08,1,0,1,2,7,1,6,3.5,4,0.5,1.0,1.25,0.94,ECNL Regional League Girls Virginia 2024-25,1-0-1
Stafford Revolution ECNL RL G08,0,1,0,1,0,2,-2,0.0,0,0.0,1.0,1.5,0.88,ECNL Regional League Girls Virginia 2024-25,0-1-0
Utah Royals FC AZ ECNL RL G08,2,0,0,2,6,2,4,3.0,6,1.0,1.0,0.5,0.88,ECNL Regional League Girls Southwest 2024-25,2-0-0
Arsenal Colorado ECNL RL G08,1,1,0,2,4,4,0,2.0,3,0.5,1.12,0.58,0.83,ECNL Regional League Girls Mountain 2024-25,1-1-0
South Valley United RL G08,0,1,0,1,0,6,-6,0.0,0,0.0,1.25,0.75,0.81,ECNL Regional League Girls NorCal 2024-25,0-1-0
VA Reign FC ECNL RL G08,1,0,1,2,3,1,2,1.5,4,0.5,1.0,0.75,0.81,ECNL Regional League Girls Virginia 2024-25,1-0-1
DKSC ECNL RL NTX G08,0,1,0,1,0,5,-5,0.0,0,0.0,1.33,0.44,0.78,ECNL Regional League Girls Texas 2024-25,0-1-0
Charlotte SA Blue ECNL RL G08,1,0,0,1,4,0,4,4.0,3,1.0,1.0,0.0,0.75,ECNL Regional League Girls Carolinas 2024-25,1-0-0
Walnut Creek Surf RL G08,1,2,0,3,2,4,-2,0.67,3,0.33,1.0,0.68,0.75,ECNL Regional League Girls NorCal 2024-25,1-2-0
FC Dallas White ECNL RL NTX G08,2,0,0,2,8,0,8,4.0,6,1.0,0.67,0.61,0.74,ECNL Regional League Girls North Texas 2024-25,2-0-0
North Coast FC RL G08,2,0,1,3,9,1,8,3.0,7,0.67,0.75,0.72,0.72,ECNL Regional League Girls NorCal 2024-25,2-0-1
BVBIA ECNL RL NTX G08,2,2,0,4,11,17,-6,2.75,6,0.5,0.94,0.48,0.71,ECNL Regional League Girls North Texas 2024-25,2-2-0
Jacksonville FC ECNL RL G08,0,2,0,2,1,4,-3,0.5,0,0.0,1.42,-0.06,0.69,ECNL Regional League Girls Florida 2024-25,0-2-0
United Futbol Academy ECNL RL G08,4,0,0,4,13,3,10,3.25,12,1.0,0.58,0.59,0.69,ECNL Regional League Girls Southeast 2024-25,4-0-0
Kernow Storm FC ECNL RL NTX G08,4,0,0,4,20,3,17,5.0,12,1.0,0.44,0.76,0.66,ECNL Regional League Girls North Texas 2024-25,4-0-0
