team,wins,losses,ties,matches_played,goals_for,goals_against,goal_differential,points,wp,record
Michigan Hawks ECNL G09,3,0,0,3,8,0,8,9,1.0,3-0-0
Kansas City Athletics ECNL G09,2,0,1,3,11,4,7,7,0.67,2-0-1
MVLA ECNL G09,2,0,0,2,13,1,12,6,1.0,2-0-0
FC Dallas ECNL G09,2,0,0,2,7,1,6,6,1.0,2-0-0
Albion Hurricanes FC ECNL G09,2,0,0,2,5,0,5,6,1.0,2-0-0
Real Colorado National ECNL G09,2,1,0,3,6,4,2,6,0.67,2-1-0
Eclipse Select SC ECNL G09,1,0,2,3,6,4,2,5,0.33,1-0-2
Sting Austin ECNL G09,1,0,1,2,7,3,4,4,0.5,1-0-1
Nationals SC ECNL G09,1,0,1,2,3,1,2,4,0.5,1-0-1
San Juan SC ECNL G09,1,0,1,2,5,3,2,4,0.5,1-0-1
Mustang SC ECNL G09,1,0,1,2,4,3,1,4,0.5,1-0-1
OK Energy FC ECNL G09,1,0,1,2,8,7,1,4,0.5,1-0-1
Gretna Elite Academy ECNL G09,1,1,1,3,5,5,0,4,0.33,1-1-1
LV Heat Surf ECNL G09,1,0,0,1,7,0,7,3,1.0,1-0-0
Concorde Fire Platinum ECNL G09,1,0,0,1,6,0,6,3,1.0,1-0-0
Fairfax Virginia Union ECNL G09,1,0,0,1,6,0,6,3,1.0,1-0-0
Eagles SC ECNL G09,1,0,0,1,4,0,4,3,1.0,1-0-0
FC Prime ECNL G09,1,0,0,1,4,0,4,3,1.0,1-0-0
Orlando City ECNL G09,1,0,0,1,4,0,4,3,1.0,1-0-0
NC Courage ECNL G09,1,0,0,1,3,0,3,3,1.0,1-0-0
Rockford Raptors ECNL G09,1,0,0,1,5,2,3,3,1.0,1-0-0
Slammers FC HB Koge ECNL G09,1,0,0,1,3,0,3,3,1.0,1-0-0
South Carolina United ECNL G09,1,0,0,1,4,1,3,3,1.0,1-0-0
United Futbol Academy ECNL G09,1,0,0,1,4,1,3,3,1.0,1-0-0
Alabama FC ECNL G09,1,0,0,1,3,1,2,3,1.0,1-0-0
Atlanta Fire United ECNL G09,1,0,0,1,3,1,2,3,1.0,1-0-0
GSA ECNL G09,1,0,0,1,3,1,2,3,1.0,1-0-0
Sting Royal ECNL G09,1,0,0,1,2,0,2,3,1.0,1-0-0
Arlington Soccer ECNL G09,1,0,0,1,2,1,1,3,1.0,1-0-0
Marin FC ECNL G09,1,1,0,2,3,2,1,3,0.5,1-1-0
Midwest United FC ECNL G09,1,0,0,1,2,1,1,3,1.0,1-0-0
So Cal Blues ECNL G09,1,0,0,1,1,0,1,3,1.0,1-0-0
Utah Royals FC-AZ ECNL G09,1,0,0,1,1,0,1,3,1.0,1-0-0
Santa Rosa United ECNL G09,1,1,0,2,3,3,0,3,0.5,1-1-0
Challenge SC ECNL G09,1,1,0,2,2,3,-1,3,0.5,1-1-0
Dallas Texans ECNL G09,1,1,0,2,3,4,-1,3,0.5,1-1-0
Liverpool FC IA Michigan ECNL G09,1,1,0,2,3,4,-1,3,0.5,1-1-0
Tulsa SC ECNL G09,1,1,0,2,3,4,-1,3,0.5,1-1-0
Colorado Rapids ECNL G09,1,2,0,3,4,7,-3,3,0.33,1-2-0
Colorado Rush ECNL G09,1,2,0,3,3,6,-3,3,0.33,1-2-0
Davis Legacy ECNL G09,1,1,0,2,3,6,-3,3,0.5,1-1-0
Chicago Inter Soccer ECNL G09,1,2,0,3,3,7,-4,3,0.33,1-2-0
Sporting Blue Valley ECNL G09,1,2,0,3,4,8,-4,3,0.33,1-2-0
Beach FC ECNL G09,0,0,1,1,0,0,0,1,0.0,0-0-1
Charlotte Independence ECNL G09,0,0,1,1,0,0,0,1,0.0,0-0-1
Charlotte SA ECNL G09,0,0,1,1,0,0,0,1,0.0,0-0-1
Legends FC ECNL G09,0,0,1,1,0,0,0,1,0.0,0-0-1
Legends FC San Diego ECNL G09,0,0,1,1,0,0,0,1,0.0,0-0-1
Pateadores ECNL G09,0,0,1,1,0,0,0,1,0.0,0-0-1
SLAMMERS FC ECNL G09,0,0,1,1,0,0,0,1,0.0,0-0-1
